sl,city,,lat,lon,score
118,Huntsville,0137000-01083020802,34.77870377440, -86.7954879957,28.43076923
119,Huntsville,0137000-01083021200,34.65423653370, -86.8340393074,28.72307692
120,Huntsville,0137000-01089000201,34.77415537750, -86.5495493410,34.98461538
121,Huntsville,0137000-01089000202,34.77912474000, -86.5733058245,30.41538462
122,Huntsville,0137000-01089000301,34.78304301590, -86.5898406106,33.4
123,Huntsville,0137000-01089000302,34.78232820550, -86.6077359957,33.69230769
124,Huntsville,0137000-01089000403,34.80497616100, -86.6173786791,31.99230769
125,Huntsville,0137000-01089000501,34.77522353720, -86.6353459087,31.53846154
126,Huntsville,0137000-01089000502,34.76793016070, -86.6346783481,34.36923077
127,Huntsville,0137000-01089000503,34.76287823920, -86.6284919984,31.63846154
128,Huntsville,0137000-01089000601,34.75386339770, -86.6345027163,31.05384615
129,Huntsville,0137000-01089000602,34.75471875850, -86.6194210493,32.93076923
130,Huntsville,0137000-01089000701,34.76723497430, -86.6021900616,33.85384615
131,Huntsville,0137000-01089000702,34.75446961230, -86.6028564877,32.57692308
132,Huntsville,0137000-01089000901,34.75967373490, -86.5476195578,28.98461538
133,Huntsville,0137000-01089000902,34.74500239430, -86.5537451839,28.41538462
134,Huntsville,0137000-01089001000,34.74224547430, -86.5731180893,29.64615385
135,Huntsville,0137000-01089001200,34.73384467960, -86.6054015480,37.42307692
136,Huntsville,0137000-01089001301,34.74159244410, -86.6376750613,31.45384615
137,Huntsville,0137000-01089001302,34.74357584140, -86.6210579514,31.60769231
138,Huntsville,0137000-01089001401,34.73982020920, -86.7028564991,27.38461538
139,Huntsville,0137000-01089001402,34.72300643750, -86.6778493286,28.34615385
140,Huntsville,0137000-01089001500,34.72757496750, -86.6286529050,29.49230769
141,Huntsville,0137000-01089001700,34.72731920670, -86.5673769121,26.94615385
142,Huntsville,0137000-01089001801,34.73192770320, -86.5410481630,26.94615385
143,Huntsville,0137000-01089001901,34.70977660010, -86.5513936181,26.54615385
144,Huntsville,0137000-01089001902,34.68310422570, -86.5340662737,27.10769231
145,Huntsville,0137000-01089001903,34.68979726800, -86.5609191140,26.46153846
146,Huntsville,0137000-01089002000,34.71193467460, -86.5826069614,27.23076923
147,Huntsville,0137000-01089002100,34.71784062120, -86.6062334588,35.6
148,Huntsville,0137000-01089002200,34.71653761040, -86.6298997727,32.66923077
149,Huntsville,0137000-01089002300,34.70551738870, -86.6182383928,33.67692308
150,Huntsville,0137000-01089002400,34.69080318060, -86.6186517968,32.61538462
151,Huntsville,0137000-01089002501,34.69946516540, -86.5969623785,34.20769231
152,Huntsville,0137000-01089002502,34.68010749030, -86.5952973836,33.01538462
153,Huntsville,0137000-01089002600,34.69154074570, -86.5750840742,29.00769231
154,Huntsville,0137000-01089002701,34.66137507850, -86.5632512320,27.49230769
155,Huntsville,0137000-01089002721,34.65904905450, -86.5478368534,27.76923077
156,Huntsville,0137000-01089002722,34.65608279870, -86.5289542697,26.76153846
157,Huntsville,0137000-01089002801,34.65761567530, -86.5825008433,28.64615385
158,Huntsville,0137000-01089002802,34.60841230700, -86.5753881086,28.21538462
159,Huntsville,0137000-01089002911,34.63659183480, -86.5527165626,27.76923077
160,Huntsville,0137000-01089002912,34.63506927320, -86.5282060629,27.20769231
161,Huntsville,0137000-01089002921,34.60926246150, -86.5553843441,28.36923077
162,Huntsville,0137000-01089002922,34.61275558800, -86.5329568642,27.16923077
163,Huntsville,0137000-01089003000,34.75076143820, -86.5879318773,34.53846154
164,Huntsville,0137000-01089003100,34.72992685180, -86.5859709335,31.31538462
165,Huntsville,0137000-01089010502,34.83899447750, -86.6593590601,32.65384615
166,Huntsville,0137000-01089010612,34.76363744970, -86.7500225775,28.26923077
167,Huntsville,0137000-01089010622,34.75763157920, -86.6692300807,28.7
168,Huntsville,0137000-01089010623,34.78080330410, -86.7409717865,26.94615385
169,Huntsville,0137000-01089010624,34.79009444980, -86.7834831275,26.61538462
170,Huntsville,0137000-01089010702,34.81038039000, -86.5608386672,29.95384615
171,Huntsville,0137000-01089010800,34.74608847510, -86.5129810014,28.66923077
172,Huntsville,0137000-01089010901,34.67393650150, -86.4700242692,26.33076923
173,Huntsville,0137000-01089011022,34.69900293130, -86.7108145743,27.23076923
174,Huntsville,0137000-01089011200,34.63148164160, -86.7569226404,26.83076923
175,Huntsville,0137000-01089011300,34.58714954140, -86.5141757841,29.76153846